"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.alloc.rate.norm","avgt",10,10,3320.000244,0.000010,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,3319.698796,95.291096,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,3336.820878,34.920803,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.006035,0.001085,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.006065,0.001076,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.count","avgt",10,10,557.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.time","avgt",10,10,824.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize","avgt",10,10,0.009441,0.000233,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.alloc.rate","avgt",10,10,2335.548031,13.685358,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.alloc.rate.norm","avgt",10,10,2372.000241,57.370959,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,2341.194562,44.006737,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
